zpid,bedrooms,bathrooms,homeType,yearBuilt,split,filename,image_index,image_path
1011541,1.0,1.0,CONDO,2006.0,train,1011541_007.jpg,0,data/images/props/1011541_007.jpg
1005445,2.0,2.0,CONDO,1987.0,train,1005445_007.jpg,0,data/images/props/1005445_007.jpg
1002822,2.0,2.0,CONDO,1974.0,train,1002822_007.jpg,0,data/images/props/1002822_007.jpg
1006212,2.0,2.0,CONDO,1970.0,train,1006212_007.jpg,7,data/images/props/1006212_007.jpg
1007959,3.0,2.0,SINGLE_FAMILY,1961.0,train,1007959_007.jpg,0,data/images/props/1007959_007.jpg
1011023,2.0,2.0,CONDO,1984.0,train,1011023_007.jpg,0,data/images/props/1011023_007.jpg
1011023,2.0,2.0,CONDO,1984.0,train,1011023_015.jpg,1,data/images/props/1011023_015.jpg
1011023,2.0,2.0,CONDO,1984.0,train,1011023_023.jpg,2,data/images/props/1011023_023.jpg
1011023,2.0,2.0,CONDO,1984.0,train,1011023_031.jpg,3,data/images/props/1011023_031.jpg
1011023,2.0,2.0,CONDO,1984.0,train,1011023_039.jpg,4,data/images/props/1011023_039.jpg
1011023,2.0,2.0,CONDO,1984.0,train,1011023_047.jpg,5,data/images/props/1011023_047.jpg
1011023,2.0,2.0,CONDO,1984.0,train,1011023_055.jpg,6,data/images/props/1011023_055.jpg
1011023,2.0,2.0,CONDO,1984.0,train,1011023_063.jpg,7,data/images/props/1011023_063.jpg
1011023,2.0,2.0,CONDO,1984.0,train,1011023_071.jpg,8,data/images/props/1011023_071.jpg
1014874,3.0,1.0,SINGLE_FAMILY,1946.0,train,1014874_007.jpg,0,data/images/props/1014874_007.jpg
1014874,3.0,1.0,SINGLE_FAMILY,1946.0,train,1014874_015.jpg,1,data/images/props/1014874_015.jpg
1014874,3.0,1.0,SINGLE_FAMILY,1946.0,train,1014874_023.jpg,2,data/images/props/1014874_023.jpg
1014874,3.0,1.0,SINGLE_FAMILY,1946.0,train,1014874_031.jpg,3,data/images/props/1014874_031.jpg
1014874,3.0,1.0,SINGLE_FAMILY,1946.0,train,1014874_039.jpg,4,data/images/props/1014874_039.jpg
1014874,3.0,1.0,SINGLE_FAMILY,1946.0,train,1014874_047.jpg,5,data/images/props/1014874_047.jpg
1002671,3.0,2.0,SINGLE_FAMILY,1960.0,train,1002671_007.jpg,0,data/images/props/1002671_007.jpg
1002323,5.0,5.0,SINGLE_FAMILY,1980.0,train,1002323_007.jpg,0,data/images/props/1002323_007.jpg
1002323,5.0,5.0,SINGLE_FAMILY,1980.0,train,1002323_015.jpg,1,data/images/props/1002323_015.jpg
1009937,2.0,2.0,APARTMENT,1977.0,train,1009937_007.jpg,0,data/images/props/1009937_007.jpg
1009937,2.0,2.0,APARTMENT,1977.0,train,1009937_015.jpg,1,data/images/props/1009937_015.jpg
1009937,2.0,2.0,APARTMENT,1977.0,train,1009937_023.jpg,2,data/images/props/1009937_023.jpg
1009937,2.0,2.0,APARTMENT,1977.0,train,1009937_031.jpg,3,data/images/props/1009937_031.jpg
1009937,2.0,2.0,APARTMENT,1977.0,train,1009937_039.jpg,4,data/images/props/1009937_039.jpg
1009937,2.0,2.0,APARTMENT,1977.0,train,1009937_047.jpg,5,data/images/props/1009937_047.jpg
1009937,2.0,2.0,APARTMENT,1977.0,train,1009937_055.jpg,6,data/images/props/1009937_055.jpg
1009937,2.0,2.0,APARTMENT,1977.0,train,1009937_063.jpg,7,data/images/props/1009937_063.jpg
1009937,2.0,2.0,APARTMENT,1977.0,train,1009937_071.jpg,8,data/images/props/1009937_071.jpg
1009937,2.0,2.0,APARTMENT,1977.0,train,1009937_079.jpg,9,data/images/props/1009937_079.jpg
1009937,2.0,2.0,APARTMENT,1977.0,train,1009937_087.jpg,10,data/images/props/1009937_087.jpg
1009937,2.0,2.0,APARTMENT,1977.0,train,1009937_095.jpg,11,data/images/props/1009937_095.jpg
1009937,2.0,2.0,APARTMENT,1977.0,train,1009937_103.jpg,12,data/images/props/1009937_103.jpg
1009937,2.0,2.0,APARTMENT,1977.0,train,1009937_111.jpg,13,data/images/props/1009937_111.jpg
1009937,2.0,2.0,APARTMENT,1977.0,train,1009937_119.jpg,14,data/images/props/1009937_119.jpg
1009937,2.0,2.0,APARTMENT,1977.0,train,1009937_127.jpg,15,data/images/props/1009937_127.jpg
1009937,2.0,2.0,APARTMENT,1977.0,train,1009937_135.jpg,16,data/images/props/1009937_135.jpg
1009937,2.0,2.0,APARTMENT,1977.0,train,1009937_143.jpg,17,data/images/props/1009937_143.jpg
